(42.327387, -83.042217)
(42.374747, -82.830790)
(42.550014, -82.606642)
(42.570584, -82.574281)
(42.754292, -82.476133)
(42.995577, -82.430788)
(43.158048, -82.348107)
(43.587230, -82.134031)
(44.504096, -82.345568)
(45.313046, -82.546378)
(45.807504, -83.611401)
(45.992072, -83.453529)
(46.091210, -83.583937)
(46.097460, -83.760383)
(46.111266, -83.824901)
(46.055543, -83.900401)
(46.051254, -83.959428)
(46.100584, -83.979507)
(46.117142, -84.007648)
(46.148428, -84.007837)
(46.186352, -84.078199)
(46.239910, -84.110961)
(46.313368, -84.121443)
(46.322141, -84.108917)
(46.503577, -84.113364)
(46.529447, -84.129539)
(46.527657, -84.153640)
(46.527657, -84.153640)
(46.526501, -84.177905)
(46.533108, -84.225404)
(46.512910, -84.245143)
(46.494781, -84.265945)
(46.494781, -84.265945)
(46.506058, -84.341214)
(46.508184, -84.373816)
(46.451075, -84.474242)
(46.456722, -84.559017)
(46.630991, -84.767110)
(46.876856, -84.874908)
(47.613107, -86.708792)
(48.275425, -88.373194)
(48.275425, -88.373194)
(47.982454, -89.587768)
(48.015592, -89.762953)
(47.982769, -89.876680)
(48.051407, -89.998467)
(48.099980, -90.132850)
(48.086737, -90.752579)
(48.172468, -90.837702)
(48.238594, -90.848048)
(48.241567, -90.885458)
(48.040390, -91.575801)
(48.104164, -91.560015)
(48.354367, -92.058457)
(48.327838, -92.284779)
(48.245597, -92.257325)
(48.217567, -92.370932)
(48.440988, -92.509439)
(48.537920, -92.641964)
(48.622811, -92.957498)
(48.610881, -93.352659)
(48.601006, -93.394699)
(48.608391, -93.404776)
(48.590447, -93.461740)
(48.545223, -93.462436)
(48.517486, -93.805404)
(48.624484, -93.840474)
(48.651000, -94.255146)
(48.688184, -94.444582)
(48.713831, -94.565306)
(48.717632, -94.593894)
(48.776315, -94.693506)
(48.823918, -94.706547)
(48.839801, -94.682937)
(49.317457, -94.825118)
(49.363986, -94.956986)
(49.351505, -95.057848)
(49.384370, -95.155671)
(49.812702, -95.153152)
(52.841234, -95.153152)
(54.888851, -92.062298)
(56.846320, -88.994288)
(55.136402, -82.197261)
(52.936845, -82.211107)
(51.185799, -79.871360)
(51.465959, -79.528023)
(51.456547, -79.509835)
(49.525626, -79.509499)
(47.565292, -79.506857)
(47.444546, -79.582595)
(47.249815, -79.419573)
(46.885011, -79.247209)
(46.662603, -79.063827)
(46.328069, -78.692015)
(46.191002, -77.624314)
(45.836873, -77.064435)
(45.845169, -77.107400)
(45.794759, -76.952543)
(45.819917, -76.932888)
(45.899058, -76.921567)
(45.866077, -76.769452)
(45.574579, -76.658602)
(45.474457, -76.246987)
(45.517143, -76.230056)
(45.516662, -76.165523)
(45.380337, -75.827056)
(45.380834, -75.805543)
(45.403136, -75.777574)
(45.418320, -75.745143)
(45.423983, -75.715287)
(45.437061, -75.706573)
(45.456390, -75.690783)
(45.469273, -75.649682)
(45.567369, -75.301490)
(45.592870, -75.244932)
(45.596684, -75.044206)
(45.648098, -74.939138)
(45.642113, -74.641166)
(45.620746, -74.596164)
(45.565927, -74.377561)
(45.303328, -74.461944)
(45.190234, -74.320501)
(45.185152, -74.320158)
(45.068126, -74.508014)
(45.000222, -74.668944)
(44.987111, -74.739296)
(44.977853, -74.904219)
(44.885036, -75.173616)
(44.726186, -75.449997)
(44.694254, -75.502228)
(44.587518, -75.648093)
(44.570629, -75.681405)
(44.471001, -75.802569)
(44.338552, -75.967710)
(44.343709, -75.999626)
(44.192974, -76.208616)
(44.187005, -76.305291)
(43.628993, -76.776171)
(43.614081, -76.818725)
(43.607991, -77.249423)
(43.607991, -78.689892)
(43.434722, -79.178581)
(43.254424, -79.051118)
(43.211291, -79.050933)
(43.153031, -79.042259)
(43.137289, -79.041510)
(43.119749, -79.066868)
(43.108471, -79.055886)
(43.079891, -79.072016)
(43.056816, -78.995542)
(43.001571, -79.011023)
(42.906620, -78.899752)
(42.825058, -78.931368)
(42.385874, -80.073811)
(42.285437, -76.636140)
(42.609706, -91.659201)
(56.650187, -94.470534)
(51.392351, -72.874128)
(46.615488, -76.824119)
(46.227115, -84.523567)
(41.273162, -84.771034)
(42.146096, -84.738994)
(43.051830, -84.848812)
(43.027741, -84.737312)
(43.944384, -84.770257)
(44.831526, -84.748294)
(45.659167, -84.726330)
(46.312316, -84.716176)
(43.088448, -84.551449)
(44.956052, -84.606862)
(57.500000, -97.000000)
