(42.318939, -83.038779)
(42.372464, -82.825985)
(42.548006, -82.601067)
(42.569754, -82.571887)
(42.755048, -82.465151)
(42.992532, -82.414684)
(43.157547, -82.333693)
(43.591209, -82.116194)
(44.511931, -82.318113)
(45.336581, -82.500619)
(45.823895, -83.572964)
(45.995888, -83.423329)
(46.114063, -83.561974)
(46.106506, -83.759010)
(46.122214, -83.826960)
(46.064596, -83.904519)
(46.058194, -83.953746)
(46.102965, -83.974359)
(46.118458, -84.005242)
(46.149380, -84.004920)
(46.187660, -84.075968)
(46.241112, -84.105996)
(46.313472, -84.116791)
(46.321667, -84.104113)
(46.503562, -84.109909)
(46.530635, -84.127900)
(46.528568, -84.153724)
(46.526486, -84.166806)
(46.527201, -84.177540)
(46.534181, -84.225893)
(46.512910, -84.245143)
(46.494781, -84.265945)
(46.493425, -84.293604)
(46.493425, -84.293604)
(46.509602, -84.374502)
(46.454387, -84.476987)
(46.463374, -84.556266)
(46.633820, -84.756815)
(46.887299, -84.847422)
(47.650125, -86.659374)
(48.304664, -88.367703)
(48.275425, -88.373194)
(47.999916, -89.580904)
(48.025510, -89.763251)
(47.989433, -89.877366)
(48.053271, -89.990989)
(48.111042, -90.129582)
(48.096311, -90.749848)
(48.175645, -90.832195)
(48.246111, -90.843204)
(48.246140, -90.884772)
(48.048194, -91.566192)
(48.107832, -91.555897)
(48.359842, -92.055025)
(48.348834, -92.301252)
(48.248340, -92.276543)
(48.237251, -92.366718)
(48.447821, -92.502576)
(48.542467, -92.631669)
(48.631888, -92.949262)
(48.613945, -93.356091)
(48.605433, -93.395728)
(48.610150, -93.403146)
(48.593158, -93.465883)
(48.549285, -93.466938)
(48.522943, -93.801629)
(48.630179, -93.836816)
(48.657351, -94.244164)
(48.694530, -94.446641)
(48.717002, -94.566164)
(48.720011, -94.588403)
(48.778577, -94.688014)
(48.824483, -94.699683)
(48.838559, -94.695080)
(49.320591, -94.814136)
(49.373376, -94.952794)
(49.354301, -95.058191)
(49.384594, -95.152239)
(49.812674, -95.154096)
(52.841337, -95.154096)
(54.878928, -92.042372)
(56.844630, -88.988797)
(55.043663, -82.307062)
(52.925049, -82.282907)
(51.154263, -79.880306)
(51.441811, -79.530435)
(49.525403, -79.523226)
(47.562830, -79.524245)
(47.445678, -79.588471)
(47.246115, -79.434280)
(46.875096, -79.273399)
(46.654856, -79.077212)
(46.315369, -78.702681)
(46.155935, -77.632347)
(45.823506, -77.081524)
(45.835228, -77.110351)
(45.785452, -76.947645)
(45.817764, -76.894795)
(45.890934, -76.910529)
(45.862221, -76.779449)
(45.569292, -76.673702)
(45.462478, -76.250857)
(45.473554, -76.229579)
(45.505354, -76.220447)
(45.514151, -76.165476)
(45.367524, -75.826404)
(45.374066, -75.798562)
(45.398194, -75.764190)
(45.410246, -75.739653)
(45.419886, -75.711683)
(45.435856, -75.699795)
(45.454765, -75.686922)
(45.462042, -75.645100)
(45.552736, -75.294373)
(45.578214, -75.237382)
(45.587074, -75.038715)
(45.641138, -74.936736)
(45.629825, -74.644065)
(45.611501, -74.603028)
(45.562592, -74.389492)
(45.300852, -74.480528)
(45.187708, -74.325456)
(45.076309, -74.516352)
(45.007960, -74.673427)
(44.994153, -74.740326)
(44.990480, -74.913141)
(44.891360, -75.179793)
(44.739387, -75.464426)
(44.706456, -75.514554)
(44.596319, -75.670412)
(44.576010, -75.689984)
(44.472226, -75.811835)
(44.346164, -75.969769)
(44.348619, -76.002715)
(44.211680, -76.236071)
(44.205712, -76.320391)
(43.643777, -76.812853)
(43.635827, -77.252168)
(43.635827, -78.702148)
(43.462638, -79.218291)
(43.430733, -79.219761)
(43.253424, -79.066217)
(43.210400, -79.061413)
(43.152961, -79.046812)
(43.138432, -79.047160)
(43.120000, -79.071329)
(43.107469, -79.063436)
(43.080142, -79.077507)
(43.075377, -79.071672)
(43.055813, -79.003723)
(42.999061, -79.030927)
(42.908097, -78.912177)
(42.830597, -78.939605)
(42.398552, -80.082734)
(46.435964, -80.972475)
(46.513014, -84.506475)
(47.441092, -84.113006)
(49.021660, -84.090696)
(50.790311, -84.090696)
(52.306799, -84.090696)
(53.786049, -84.046687)
(48.750000, -84.500000)
